id,name,short_name,level_type,parent_id,city_id
441300,惠州市,惠州,2,440000.0,441300.0
610700,汉中市,汉中,2,610000.0,610700.0
460100,海口市,海口,2,460000.0,460100.0
611000,商洛市,商洛,2,610000.0,611000.0
654000,伊犁哈萨克自治州,伊犁,2,650000.0,654000.0
654300,阿勒泰地区,阿勒泰,2,650000.0,654300.0
350100,福州市,福州,2,350000.0,350100.0
440100,广州市,广州,2,440000.0,440100.0
440800,湛江市,湛江,2,440000.0,440800.0
330100,杭州市,杭州,2,330000.0,330100.0
370200,青岛市,青岛,2,370000.0,370200.0
360100,南昌市,南昌,2,360000.0,360100.0
370100,济南市,济南,2,370000.0,370100.0
410100,郑州市,郑州,2,410000.0,410100.0
440300,深圳市,深圳,2,440000.0,440300.0
420100,武汉市,武汉,2,420000.0,420100.0
530400,玉溪市,玉溪,2,530000.0,530400.0
533400,迪庆藏族自治州,迪庆,2,530000.0,533400.0
650100,乌鲁木齐市,乌鲁木齐,2,650000.0,650100.0
632700,玉树藏族自治州,玉树,2,630000.0,632700.0
150700,呼伦贝尔市,呼伦贝尔,2,150000.0,150700.0
371300,临沂市,临沂,2,370000.0,371300.0
371400,德州市,德州,2,370000.0,371400.0
410900,濮阳市,濮阳,2,410000.0,410900.0
411000,许昌市,许昌,2,410000.0,411000.0
411100,漯河市,漯河,2,410000.0,411100.0
411200,三门峡市,三门峡,2,410000.0,411200.0
411300,南阳市,南阳,2,410000.0,411300.0
411500,信阳市,信阳,2,410000.0,411500.0
430500,邵阳市,邵阳,2,430000.0,430500.0
441600,河源市,河源,2,440000.0,441600.0
441700,阳江市,阳江,2,440000.0,441700.0
511400,眉山市,眉山,2,510000.0,511400.0
532500,红河哈尼族彝族自治州,红河,2,530000.0,532500.0
532600,文山壮族苗族自治州,文山,2,530000.0,532600.0
532800,西双版纳傣族自治州,西双版纳,2,530000.0,532800.0
630200,海东市,海东,2,630000.0,630200.0
632200,海北藏族自治州,海北,2,630000.0,632200.0
632300,黄南藏族自治州,黄南,2,630000.0,632300.0
632500,海南藏族自治州,海南,2,630000.0,632500.0
430400,衡阳市,衡阳,2,430000.0,430400.0
140100,太原市,太原,2,140000.0,140100.0
350900,宁德市,宁德,2,350000.0,350900.0
630100,西宁市,西宁,2,630000.0,630100.0
640300,吴忠市,吴忠,2,640000.0,640300.0
640100,银川市,银川,2,640000.0,640100.0
652300,昌吉回族自治州,昌吉,2,650000.0,652300.0
430700,常德市,常德,2,430000.0,430700.0
442000,中山市,中山,2,440000.0,442000.0
640400,固原市,固原,2,640000.0,640400.0
610300,宝鸡市,宝鸡,2,610000.0,610300.0
440600,佛山市,佛山,2,440000.0,440600.0
610500,渭南市,渭南,2,610000.0,610500.0
320400,常州市,常州,2,320000.0,320400.0
371700,菏泽市,菏泽,2,370000.0,371700.0
410400,平顶山市,平顶山,2,410000.0,410400.0
350300,莆田市,莆田,2,350000.0,350300.0
530500,保山市,保山,2,530000.0,530500.0
530600,昭通市,昭通,2,530000.0,530600.0
532900,大理白族自治州,大理,2,530000.0,532900.0
513300,甘孜藏族自治州,甘孜,2,510000.0,513300.0
150100,呼和浩特市,呼和浩特,2,150000.0,150100.0
130300,秦皇岛市,秦皇岛,2,130000.0,130300.0
340200,芜湖市,芜湖,2,340000.0,340200.0
510600,德阳市,德阳,2,510000.0,510600.0
431200,怀化市,怀化,2,430000.0,431200.0
150800,巴彦淖尔市,巴彦淖尔,2,150000.0,150800.0
150900,乌兰察布市,乌兰察布,2,150000.0,150900.0
152200,兴安盟,兴安盟,2,150000.0,152200.0
220200,吉林市,吉林,2,220000.0,220200.0
220300,四平市,四平,2,220000.0,220300.0
220400,辽源市,辽源,2,220000.0,220400.0
220500,通化市,通化,2,220000.0,220500.0
220600,白山市,白山,2,220000.0,220600.0
